Year,Units,Sex,Age,Location,Value
2013,percent,,,,25.2
2014,percent,,,,24.1
2015,percent,,,,24.4
2016,percent,,,,24.0
2017,percent,,,,23.6
2018,percent,,,,23.8
2019,percent,,,,24.5
2020,percent,,,,22.6
2021,percent,,,,21.2
2022,percent,,,,20.3
2023,percent,,,,20.1
2013,percent,Male,,,24.9
2014,percent,Male,,,24.2
2015,percent,Male,,,24.4
2016,percent,Male,,,24.5
2017,percent,Male,,,24.2
2018,percent,Male,,,24.1
2019,percent,Male,,,24.9
2020,percent,Male,,,23.0
2021,percent,Male,,,21.1
2022,percent,Male,,,20.0
2023,percent,Male,,,20.2
2013,percent,Female,,,25.4
2014,percent,Female,,,23.9
2015,percent,Female,,,24.5
2016,percent,Female,,,23.6
2017,percent,Female,,,23.0
2018,percent,Female,,,23.5
2019,percent,Female,,,24.0
2020,percent,Female,,,22.2
2021,percent,Female,,,21.3
2022,percent,Female,,,20.6
2023,percent,Female,,,19.9
2013,percent,,aged 0-17 years,,34.7
2014,percent,,aged 0-17 years,,31.8
2015,percent,,aged 0-17 years,,32.6
2016,percent,,aged 0-17 years,,30.9
2017,percent,,aged 0-17 years,,31.7
2018,percent,,aged 0-17 years,,32.4
2019,percent,,aged 0-17 years,,33.7
2020,percent,,aged 0-17 years,,32.6
2021,percent,,aged 0-17 years,,30.5
2022,percent,,aged 0-17 years,,28.4
2023,percent,,aged 0-17 years,,27.3
2013,percent,,aged 18-24 years,,27.7
2014,percent,,aged 18-24 years,,30.8
2015,percent,,aged 18-24 years,,28.0
2016,percent,,aged 18-24 years,,29.6
2017,percent,,aged 18-24 years,,27.8
2018,percent,,aged 18-24 years,,25.0
2019,percent,,aged 18-24 years,,30.5
2020,percent,,aged 18-24 years,,25.2
2021,percent,,aged 18-24 years,,24.7
2022,percent,,aged 18-24 years,,25.8
2023,percent,,aged 18-24 years,,24.4
2013,percent,,aged 25-54 years,,24.4
2014,percent,,aged 25-54 years,,23.3
2015,percent,,aged 25-54 years,,23.4
2016,percent,,aged 25-54 years,,22.6
2017,percent,,aged 25-54 years,,22.5
2018,percent,,aged 25-54 years,,22.4
2019,percent,,aged 25-54 years,,22.5
2020,percent,,aged 25-54 years,,20.4
2021,percent,,aged 25-54 years,,19.6
2022,percent,,aged 25-54 years,,18.6
2023,percent,,aged 25-54 years,,18.3
2013,percent,,aged 55-64 years,,16.0
2014,percent,,aged 55-64 years,,16.3
2015,percent,,aged 55-64 years,,19.9
2016,percent,,aged 55-64 years,,20.3
2017,percent,,aged 55-64 years,,18.8
2018,percent,,aged 55-64 years,,18.6
2019,percent,,aged 55-64 years,,19.0
2020,percent,,aged 55-64 years,,17.3
2021,percent,,aged 55-64 years,,15.5
2022,percent,,aged 55-64 years,,13.4
2023,percent,,aged 55-64 years,,14.9
2013,percent,,aged over 65 years,,15.6
2014,percent,,aged over 65 years,,13.1
2015,percent,,aged over 65 years,,14.9
2016,percent,,aged over 65 years,,16.1
2017,percent,,aged over 65 years,,15.4
2018,percent,,aged over 65 years,,15.3
2019,percent,,aged over 65 years,,15.1
2020,percent,,aged over 65 years,,15.5
2021,percent,,aged over 65 years,,13.8
2022,percent,,aged over 65 years,,14.3
2023,percent,,aged over 65 years,,13.8
2013,percent,,aged 18-64 years,,23.3
2014,percent,,aged 18-64 years,,23.2
2015,percent,,aged 18-64 years,,23.4
2016,percent,,aged 18-64 years,,23.2
2017,percent,,aged 18-64 years,,22.5
2018,percent,,aged 18-64 years,,22.0
2019,percent,,aged 18-64 years,,23.0
2020,percent,,aged 18-64 years,,20.5
2021,percent,,aged 18-64 years,,19.6
2022,percent,,aged 18-64 years,,18.7
2023,percent,,aged 18-64 years,,18.6
2013,percent,,,Urban,19.0
2014,percent,,,Urban,18.7
2015,percent,,,Urban,17.8
2016,percent,,,Urban,18.8
2017,percent,,,Urban,17.5
2018,percent,,,Urban,17.3
2019,percent,,,Urban,17.9
2020,percent,,,Urban,16.9
2021,percent,,,Urban,16.6
2013,percent,,,Rural,36.4
2014,percent,,,Rural,33.8
2015,percent,,,Rural,36.5
2016,percent,,,Rural,33.5
2017,percent,,,Rural,34.8
2018,percent,,,Rural,35.6
2019,percent,,,Rural,36.3
2020,percent,,,Rural,32.9
2021,percent,,,Rural,29.6
2024,percent,,,,19.9
2024,percent,Male,,,19.8
2024,percent,Female,,,20.1
2024,percent,,aged 0-17 years,,25.6
2024,percent,,aged 18-24 years,,22.1
2024,percent,,aged 25-54 years,,17.3
2024,percent,,aged 55-64 years,,16.8
2024,percent,,aged over 65 years,,20.5
2024,percent,,aged 18-64 years,,17.8
